Price,Close,High,Low,Open,Volume,RSI_14,MA_9,MA_21,MA_51,MACD,MACD_Signal,MACD_Hist
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,,,,,,,
Date,,,,,,,,,,,,
2016-12-08,237.66470336914062,238.21337699730742,235.97297131008463,236.33877233332913,9047721,35.43953273307267,234.2863532172309,240.58006940569197,236.08237532073377,-0.7109977515970343,-0.19536710032708496,-0.5156306512699493
2016-12-09,243.8372344970703,244.34019698286195,236.65882151045892,238.4877151168974,16004173,60.83917226314507,235.6173790825738,240.86964416503906,236.29933226342294,-0.052270884722645405,-0.16674785720619706,0.11447697248355165
2016-12-12,241.09390258789062,246.30626071269808,239.85939377867803,245.89474847405964,14296268,56.8627671954075,236.7299550374349,240.10107494535902,236.51449614880133,0.2455800510958852,-0.0842822755457806,0.3298623266416658
2016-12-13,243.38002014160156,243.928693825267,239.17355910910362,242.2369615950914,9084137,57.96178998343055,237.52247619628906,239.80279105050224,236.82200143851486,0.6585087651973822,0.06427593260285197,0.5942328325945303
2016-12-14,240.4080352783203,243.4714373483625,239.8593616691532,243.24282567010113,8672531,51.21690318912437,238.2591094970703,239.1365487234933,236.98606304093903,0.737442626010079,0.1989092712842974,0.5385333547257817
2016-12-15,242.6941680908203,244.61451189639385,236.84171432211593,237.66471083687577,12274497,54.54541735795391,239.4072469075521,238.62271554129464,237.31149830537683,0.9732510589714423,0.35377762882172636,0.6194734301497159
2016-12-16,242.09979248046875,243.56291295498664,240.54522174378687,243.56291295498664,11017555,63.27011238371951,240.20484924316406,238.06969197591147,237.5535577512255,1.0994954969733044,0.502921202452042,0.5965742945212624
2016-12-19,238.9906768798828,241.87117871997125,238.53345347965603,240.81957048078996,8371299,59.66478897082705,240.43345981174045,237.44046529134116,237.6620360729741,0.937854476022352,0.589907857166104,0.3479466188562479
2016-12-20,232.77243041992188,240.40805265370315,231.58364681637403,239.44789469829,12765309,45.86056981488342,240.32677374945746,237.31853957403274,237.5687982895795,0.30448239754795736,0.5328227652424747,-0.22834036769451738
2016-12-21,233.50399780273438,235.92727626050382,232.36093929372032,234.18983290814282,8778450,49.65908690126888,239.8644731309679,237.23145039876303,237.47018163344438,-0.13686052111842173,0.39888610797029544,-0.5357466290887172
2016-12-22,228.42880249023438,232.49808776466867,227.10285748440972,232.49808776466867,12981595,45.5208325366769,238.15242513020834,236.84607587541853,237.344669416839,-0.8859412313713619,0.14192064010196395,-1.0278618714733259
